********************************************************************************
product = Open Liberty 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = D:/devel/tools/wlp/
java.home = C:\Program Files\Java\jre1.8.0_211
java.version = 1.8.0_211
java.runtime = Java(TM) SE Runtime Environment (1.8.0_211-b12)
os = Windows 10 (10.0; amd64) (es_PE)
process = 10252@DESKTOP-DIRMJ0E
********************************************************************************
[04/07/19 16:44:05:555 COT] 00000020 org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registering MBean org.apache.cxf:bus.id=security-Server-Bus,WorkQueueManager=Bus.WorkQueueManager,type=WorkQueueManager,instance.id=1267337248: org.apache.cxf.bus.managers.WorkQueueManagerImplMBeanWrapper@74e19c34
[04/07/19 16:44:05:661 COT] 0000001d org.apache.cxf.management.jmx.InstrumentationManagerImpl     I registering MBean org.apache.cxf:bus.id=softswitch-Server-Bus,WorkQueueManager=Bus.WorkQueueManager,type=WorkQueueManager,instance.id=1645120958: org.apache.cxf.bus.managers.WorkQueueManagerImplMBeanWrapper@51c3bf79
[04/07/19 16:44:07:844 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: LFacesUtils; com.ibm.ws.injectionengine.InjectionProcessorManager.getAllDeclaredFields 249" en ffdc_19.07.04_16.44.07.0.log
[04/07/19 16:44:07:900 COT] 0000001e com.ibm.ws.ejbcontainer.osgi.internal.ModuleInitDataFactory  E CNTR4106E: El EJB ServiceModel se ha declarado con varias clases: mediante la anotación @Stateless en la clase me.enume.prime.ServiceModel y mediante la anotación @Stateless en la clase testingPrimefaces.view.ServiceModel.
[04/07/19 16:44:08:049 COT] 00000022 com.ibm.ws.injectionengine.InjectionProcessorManager         W CWNEN0047W: Se ignorarán las notaciones de recursos de los campos de la clase zsoftswitch.view.admin.plan.PlanDeleteView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: LFacesUtils;
[04/07/19 16:44:08:194 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: Plan com.ibm.wsspi.injectionengine.MethodMap.getAllDeclaredMethods 106" en ffdc_19.07.04_16.44.08.0.log
[04/07/19 16:44:08:196 COT] 00000022 com.ibm.wsspi.injectionengine.MethodMap                      W CWNEN0049W: Se ignorarán las notaciones de recursos de los métodos de la clase zsoftswitch.view.admin.plan.PlanDeleteView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: Plan
[04/07/19 16:44:08:238 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: LRouteGroupApi; com.ibm.ws.injectionengine.InjectionProcessorManager.getAllDeclaredFields 249" en ffdc_19.07.04_16.44.08.1.log
[04/07/19 16:44:08:238 COT] 00000022 com.ibm.ws.injectionengine.InjectionProcessorManager         W CWNEN0047W: Se ignorarán las notaciones de recursos de los campos de la clase zsoftswitch.view.admin.routegroup.RouteGroupListView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: LRouteGroupApi;
[04/07/19 16:44:08:247 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: RouteGroupApi com.ibm.wsspi.injectionengine.MethodMap.getAllDeclaredMethods 106" en ffdc_19.07.04_16.44.08.2.log
[04/07/19 16:44:08:248 COT] 00000022 com.ibm.wsspi.injectionengine.MethodMap                      W CWNEN0049W: Se ignorarán las notaciones de recursos de los métodos de la clase zsoftswitch.view.admin.routegroup.RouteGroupListView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: RouteGroupApi
[04/07/19 16:44:08:274 COT] 0000001e com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "com.ibm.ejs.container.EJBConfigurationException: Errors occurred processing EJB metadata com.ibm.ws.ejbcontainer.osgi.internal.ModuleInitDataAdapter 123" en ffdc_19.07.04_16.44.07.1.log
[04/07/19 16:44:08:382 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: LRouteApi; com.ibm.ws.injectionengine.InjectionProcessorManager.getAllDeclaredFields 249" en ffdc_19.07.04_16.44.08.3.log
[04/07/19 16:44:08:383 COT] 00000022 com.ibm.ws.injectionengine.InjectionProcessorManager         W CWNEN0047W: Se ignorarán las notaciones de recursos de los campos de la clase zsoftswitch.view.admin.routeprefix.RoutePrefixListView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: LRouteApi;
[04/07/19 16:44:08:386 COT] 00000022 com.ibm.ws.injectionengine.InjectionProcessorManager         W CWNEN0047W: Se ignorarán las notaciones de recursos de los campos de la clase zsoftswitch.view.admin.route.RouteListView. Las notaciones no se han podido obtener debido a la excepción: java.lang.NoClassDefFoundError: LRouteApi;
[04/07/19 16:44:08:515 COT] 00000022 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: Se ha creado una incidencia FFDC: "java.lang.NoClassDefFoundError: Route com.ibm.wsspi.injectionengine.MethodMap.getAllDeclaredMethods 106" en ffdc_19.07.04_16.44.08.5.log
